_format_display_name__mutmut_100 | -['"node exporter": "Node Exporter",'] | +['"node exporter": "XXNode ExporterXX",']
_format_display_name__mutmut_101 | -['"node exporter": "Node Exporter",'] | +['"node exporter": "node exporter",']
_format_display_name__mutmut_102 | -['"node exporter": "Node Exporter",'] | +['"node exporter": "NODE EXPORTER",']
_format_display_name__mutmut_103 | -['"cadvisor": "cAdvisor",'] | +['"XXcadvisorXX": "cAdvisor",']
_format_display_name__mutmut_104 | -['"cadvisor": "cAdvisor",'] | +['"CADVISOR": "cAdvisor",']
_format_display_name__mutmut_105 | -['"cadvisor": "cAdvisor",'] | +['"cadvisor": "XXcAdvisorXX",']
_format_display_name__mutmut_106 | -['"cadvisor": "cAdvisor",'] | +['"cadvisor": "cadvisor",']
_format_display_name__mutmut_107 | -['"cadvisor": "cAdvisor",'] | +['"cadvisor": "CADVISOR",']
_format_display_name__mutmut_16 | -['display = display.replace("-", " ").replace("_", " ")'] | +['display = display.replace("XX-XX", " ").replace("_", " ")']
_format_display_name__mutmut_17 | -['display = display.replace("-", " ").replace("_", " ")'] | +['display = display.replace("-", "XX XX").replace("_", " ")']
_format_display_name__mutmut_18 | -['display = display.replace("-", " ").replace("_", " ")'] | +['display = display.replace("-", " ").replace("XX_XX", " ")']
_format_display_name__mutmut_19 | -['display = display.replace("-", " ").replace("_", " ")'] | +['display = display.replace("-", " ").replace("_", "XX XX")']
_format_display_name__mutmut_34 | -['"florence": "Florence-2",'] | +['"XXflorenceXX": "Florence-2",']
_format_display_name__mutmut_35 | -['"florence": "Florence-2",'] | +['"FLORENCE": "Florence-2",']
_format_display_name__mutmut_36 | -['"florence": "Florence-2",'] | +['"florence": "XXFlorence-2XX",']
_format_display_name__mutmut_37 | -['"florence": "Florence-2",'] | +['"florence": "florence-2",']
_format_display_name__mutmut_38 | -['"florence": "Florence-2",'] | +['"florence": "FLORENCE-2",']
_format_display_name__mutmut_44 | -['"redis": "Redis",'] | +['"XXredisXX": "Redis",']
_format_display_name__mutmut_45 | -['"redis": "Redis",'] | +['"REDIS": "Redis",']
_format_display_name__mutmut_49 | -['"go2rtc": "go2rtc",'] | +['"XXgo2rtcXX": "go2rtc",']
_format_display_name__mutmut_50 | -['"go2rtc": "go2rtc",'] | +['"GO2RTC": "go2rtc",']
_format_display_name__mutmut_51 | -['"go2rtc": "go2rtc",'] | +['"go2rtc": "XXgo2rtcXX",']
_format_display_name__mutmut_52 | -['"go2rtc": "go2rtc",'] | +['"go2rtc": "GO2RTC",']
_format_display_name__mutmut_53 | -['"grafana": "Grafana",'] | +['"XXgrafanaXX": "Grafana",']
